Transactions
User,Demo User (synthetic data),47c631d5-08de-d617-2c28-cf1ecd88823b

ID,Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
f5889c72-4841-5e97-1224-4152a34b26c8,2017-12-08 19:07:00 UTC,Buy,BTC,0.15062232,USD,"$13,080.40","$1,970.20","$2,000.00",$29.80,Bought 0.15062232 BTC for 2000.00 USD
1a93ca57-f00e-ffb2-1165-5d0f79e975de,2017-12-12 09:47:00 UTC,Buy,BTC,0.07946480,USD,"$12,396.68",$985.10,"$1,000.00",$14.90,Bought 0.07946480 BTC for 1000.00 USD
89d87216-467b-87ed-f71b-a52d8ad44862,2017-12-20 13:15:00 UTC,Buy,BTC,0.24300349,USD,"$12,161.55","$2,955.30","$3,000.00",$44.70,Bought 0.24300349 BTC for 3000.00 USD
424bb656-0f38-34ae-0de1-ef598a9fae23,2017-12-22 12:08:00 UTC,Buy,BTC,0.06058028,USD,"$12,195.80",$738.83,$750.00,$11.18,Bought 0.06058028 BTC for 750.00 USD
73bdf631-495c-9ad7-8d9b-63006bbf4c65,2017-12-28 20:06:00 UTC,Buy,BTC,0.04465720,USD,"$11,029.58",$492.55,$500.00,$7.45,Bought 0.04465720 BTC for 500.00 USD
fb15f24c-9530-57e5-0f7d-d9f1ca03c877,2021-01-06 02:37:00 UTC,Buy,BTC,0.00278227,USD,"$35,406.36",$98.51,$100.00,$1.49,Bought 0.00278227 BTC for 100.00 USD
bd46a052-23f0-1014-541b-74517bc109dc,2021-01-13 05:02:00 UTC,Buy,BTC,0.00272136,USD,"$36,198.84",$98.51,$100.00,$1.49,Bought 0.00272136 BTC for 100.00 USD
2e3029f5-8eb3-3f61-cda1-cbed15e63d07,2021-01-20 02:05:00 UTC,Buy,BTC,0.00250795,USD,"$39,279.02",$98.51,$100.00,$1.49,Bought 0.00250795 BTC for 100.00 USD
b149a0c6-4e1b-482d-8ad9-cdcec8d38590,2021-01-27 03:14:00 UTC,Buy,BTC,0.00221631,USD,"$44,447.68",$98.51,$100.00,$1.49,Bought 0.00221631 BTC for 100.00 USD
00036e86-e8f3-0f75-654a-77fd54678a13,2021-02-03 02:35:00 UTC,Buy,BTC,0.00215331,USD,"$45,748.11",$98.51,$100.00,$1.49,Bought 0.00215331 BTC for 100.00 USD
a83ffcbe-dd21-110b-23c5-8f76692914cc,2021-02-10 03:45:00 UTC,Buy,BTC,0.00198199,USD,"$49,702.66",$98.51,$100.00,$1.49,Bought 0.00198199 BTC for 100.00 USD
72abb10f-bfae-a363-746f-1888ca03627b,2021-02-17 05:14:00 UTC,Buy,BTC,0.00192804,USD,"$51,093.21",$98.51,$100.00,$1.49,Bought 0.00192804 BTC for 100.00 USD
939575c8-ae12-fe77-f121-db6c1b9f25f7,2021-02-24 05:37:00 UTC,Buy,BTC,0.00173742,USD,"$56,698.88",$98.51,$100.00,$1.49,Bought 0.00173742 BTC for 100.00 USD
214c5fea-d0d0-93dc-0bcc-325420fad97b,2021-03-03 04:51:00 UTC,Buy,BTC,0.00168844,USD,"$58,343.96",$98.51,$100.00,$1.49,Bought 0.00168844 BTC for 100.00 USD
