Reference,Date & Time (UTC),Transaction Type,Amount USD,Fee USD,Amount BTC,Fee BTC,BTC Price,Cost Basis (USD),Destination,Description,Transaction Hash,Note
a1b5fd24-052a-f1d2-1447-23cfe0cfd6a7,Jan 01 2025 13:04:22,Deposit,100.00,,,,,,,,,
446f3b42-4c9b-d7f2-2949-60107ea74726,Jan 01 2025 13:05:00,Purchase,-100.00,,0.00099453,,100549.76,100.00,,,,
48dbcc64-f83f-6fda-2a64-13380cb5dc95,Jan 02 2025 13:01:22,Deposit,100.00,,,,,,,,,
de7b24f5-8ab7-7fbc-acfd-8e9d5589b309,Jan 02 2025 13:02:00,Purchase,-100.00,,0.00096891,,103208.79,100.00,,,,
d4a0d4da-ca34-1d4e-df57-a0e68842439d,Jan 03 2025 13:00:22,Deposit,30.00,,,,,,,,,
b05469fe-09bf-e4b3-91e0-67429e476e41,Jan 03 2025 13:01:00,Purchase,-30.00,,0.00029519,,101630.97,30.00,,,,
8a2cfce0-c6d7-4d60-3244-01984c8666de,Jan 04 2025 13:00:22,Deposit,30.00,,,,,,,,,
c05cf26c-0a89-d40b-d813-648b26b1023a,Jan 04 2025 13:01:00,Purchase,-30.00,,0.00031119,,96404.27,30.00,,,,
9c3fb116-1982-1918-72bc-ca26a6386f9e,Jan 05 2025 13:02:22,Deposit,50.00,,,,,,,,,
ab16103c-ac9e-3fe8-1214-e3c6f3d23bcd,Jan 05 2025 13:03:00,Purchase,-50.00,,0.00051860,,96412.61,50.00,,,,
d32fceb6-65d2-f1a0-a6b6-8b2bdae4b7b7,Jan 06 2025 13:03:22,Deposit,50.00,,,,,,,,,
7595cc43-efa1-2a8d-df60-604a65e5fcd7,Jan 06 2025 13:04:00,Purchase,-50.00,,0.00051829,,96470.22,50.00,,,,
8a2b15a4-b9d3-70e6-0f40-e75fffe3394a,Jan 08 2025 13:01:22,Deposit,20.00,,,,,,,,,
4fc6010e-2421-4846-99f6-1bfef3d3f3cb,Jan 08 2025 13:02:00,Purchase,-20.00,,0.00020150,,99256.95,20.00,,,,
dbcced91-c769-800b-4594-cb6e65422870,Jan 09 2025 13:03:22,Deposit,20.00,,,,,,,,,
e0b9f7d1-3af3-2a13-12c4-d0014cb68eae,Jan 09 2025 13:04:00,Purchase,-20.00,,0.00020443,,97832.61,20.00,,,,
67a96bf2-539c-f28c-7dc9-74062f4ddb44,Jan 10 2025 12:59:22,Deposit,30.00,,,,,,,,,
9ca85f49-0114-0c12-9c0a-20a864f3c616,Jan 10 2025 13:00:00,Purchase,-30.00,,0.00031570,,95025.64,30.00,,,,
7ad6c602-1111-72e3-0915-7a82a517187e,Jan 12 2025 13:02:22,Deposit,20.00,,,,,,,,,
dd27dc50-244d-2b9e-8e0b-7221b670df6e,Jan 12 2025 13:03:00,Purchase,-20.00,,0.00021694,,92189.42,20.00,,,,
