Reference,Date & Time (UTC),Transaction Type,Amount USD,Fee USD,Amount BTC,Fee BTC,BTC Price,Cost Basis (USD),Destination,Description,Transaction Hash,Note
84597047-4100-364e-5587-a1f37a75ac3f,Jan 01 2026 13:03:22,Deposit,100.00,,,,,,,,,
d588dfc9-1eeb-6c28-060e-11c77c14f63a,Jan 01 2026 13:04:00,Purchase,-100.00,,0.00108575,,92101.83,100.00,,,,
df5d2f6d-549a-fee6-5964-28d555557626,Jan 02 2026 13:00:22,Deposit,25.00,,,,,,,,,
a556a0c4-f091-3892-59a5-548bce077b18,Jan 02 2026 13:01:00,Purchase,-25.00,,0.00025349,,98623.02,25.00,,,,
d566e83b-6a76-eb20-a718-afbb15bf4756,Jan 03 2026 13:03:22,Deposit,30.00,,,,,,,,,
00f0d2d9-9ce9-eb53-87bc-b1c44e05a4b8,Jan 03 2026 13:04:00,Purchase,-30.00,,0.00030481,,98422.07,30.00,,,,
331bbd59-24dd-ed08-1ac9-f176d859a640,Jan 05 2026 13:03:22,Deposit,30.00,,,,,,,,,
da874d29-7916-f2b4-8631-2ad70b7255b5,Jan 05 2026 13:04:00,Purchase,-30.00,,0.00030456,,98504.27,30.00,,,,
c8e9ee1d-ec99-5d71-e0e2-12134990bc94,Jan 06 2026 13:04:22,Deposit,20.00,,,,,,,,,
33f90088-211e-5629-5096-0d9182421e18,Jan 06 2026 13:05:00,Purchase,-20.00,,0.00021382,,93537.15,20.00,,,,
620bb062-bea1-cd0d-eb38-387b2ac0b384,Jan 07 2026 13:02:22,Deposit,20.00,,,,,,,,,
ef142a7c-33a3-32d5-f386-b6831c3da08f,Jan 07 2026 13:03:00,Purchase,-20.00,,0.00021363,,93618.96,20.00,,,,
5ab631f6-f254-0e4a-19a5-90d1d4a77d13,Jan 08 2026 13:00:22,Deposit,100.00,,,,,,,,,
07238103-5e34-5e92-a84b-869a14cd85f7,Jan 08 2026 13:01:00,Purchase,-100.00,,0.00103844,,96297.92,100.00,,,,
dcd8221a-254e-4860-dfff-7cee20f04817,Jan 09 2026 13:04:22,Deposit,30.00,,,,,,,,,
b2763be5-157d-c2c5-02e4-a34cc1dd3208,Jan 09 2026 13:05:00,Purchase,-30.00,,0.00031805,,94324.93,30.00,,,,
0705fcf6-d0d7-66b1-cccf-d0ab001a1161,Jan 10 2026 13:04:22,Deposit,50.00,,,,,,,,,
d5b11bbd-9929-2486-d2c1-b051ec23396d,Jan 10 2026 13:05:00,Purchase,-50.00,,0.00052117,,95938.17,50.00,,,,
f80742ee-823f-deab-0186-fa63aeb45a17,Jan 11 2026 13:01:22,Deposit,100.00,,,,,,,,,
c1616df9-debc-fb6a-2a78-f964f0351e10,Jan 11 2026 13:02:00,Purchase,-100.00,,0.00102914,,97168.66,100.00,,,,
6f203074-0478-3c00-ebfb-3cc20fc89818,Jan 12 2026 13:04:22,Deposit,20.00,,,,,,,,,
79c2d445-ee4d-30a8-15c0-59dba42acc86,Jan 12 2026 13:05:00,Purchase,-20.00,,0.00020263,,98702.42,20.00,,,,
6e8b6215-79ed-2998-77e7-c11aea7e9ec6,Jan 13 2026 13:04:22,Deposit,30.00,,,,,,,,,
36850059-5fa5-69c2-a253-dfc0d120cdae,Jan 13 2026 13:05:00,Purchase,-30.00,,0.00031681,,94694.43,30.00,,,,
594bdb46-a819-9a07-c668-cc0389c14ca7,Jan 14 2026 13:03:22,Deposit,20.00,,,,,,,,,
572b60f0-e319-fd02-b177-8a2548b8266f,Jan 14 2026 13:04:00,Purchase,-20.00,,0.00020712,,96564.31,20.00,,,,
39f94b0e-9741-6b11-edee-aa01a6afc17c,Jan 15 2026 12:59:22,Deposit,100.00,,,,,,,,,
e66c2858-f82b-2d74-add2-8587d9a2e5eb,Jan 15 2026 13:00:00,Purchase,-100.00,,0.00098580,,101439.96,100.00,,,,
ff61c28c-02f8-2c90-114a-d6ad4e7fffca,Jan 16 2026 13:04:22,Deposit,30.00,,,,,,,,,
80479f39-b36e-8045-dbda-57cfbc5eb8a8,Jan 16 2026 13:05:00,Purchase,-30.00,,0.00029790,,100704.13,30.00,,,,
0797ebba-7c95-518e-1a88-fcb602ec5e18,Jan 17 2026 13:02:22,Deposit,25.00,,,,,,,,,
7a4e2b78-8704-e7a9-8581-4809dc1ec685,Jan 17 2026 13:03:00,Purchase,-25.00,,0.00024738,,101058.67,25.00,,,,
f59ee33b-ee6f-2ad3-c52f-6cf27f629062,Jan 18 2026 13:02:22,Deposit,30.00,,,,,,,,,
3cdd3d59-cdfc-5245-9e54-8fcde1e3ce28,Jan 18 2026 13:03:00,Purchase,-30.00,,0.00031436,,95431.04,30.00,,,,
be4aeb56-a410-6927-e78a-849f32ba5523,Jan 19 2026 13:03:22,Deposit,50.00,,,,,,,,,
a2e20e0d-efd6-363c-9a76-6c95ba07b775,Jan 19 2026 13:04:00,Purchase,-50.00,,0.00051043,,97955.67,50.00,,,,
2135a9ce-a29b-ef17-3f0b-d4b651286a9b,Jan 20 2026 13:01:22,Deposit,100.00,,,,,,,,,
c6cf7dd7-d999-30c6-4de6-40c084944225,Jan 20 2026 13:02:00,Purchase,-100.00,,0.00097847,,102200.34,100.00,,,,
